ds,y
2016/1/1,1510
2016/1/2,1610
2016/1/3,1598
2016/1/4,1470
2016/1/5,1487
2016/1/6,1454
2016/1/7,1645
2016/1/8,1593
2016/1/9,1565
2016/1/10,1674
2016/1/11,1626
2016/1/12,1609
2016/1/13,1690
2016/1/14,1641
2016/1/15,1643
2016/1/16,1491
2016/1/17,1663
2016/1/18,1652
2016/1/19,1664
2016/1/20,1579
2016/1/21,1558
2016/1/22,1702
2016/1/23,1608
2016/1/24,1525
2016/1/25,1611
2016/1/26,1563
2016/1/27,1595
2016/1/28,1665
2016/1/29,1590
2016/1/30,1632
2016/1/31,1629
2016/2/1,1549
2016/2/2,1523
2016/2/3,1543
2016/2/4,1511
2016/2/5,1503
2016/2/6,1548
2016/2/7,1595
2016/2/8,1710
2016/2/9,1477
2016/2/10,1499
2016/2/11,1567
2016/2/12,1564
2016/2/13,1677
2016/2/14,1428
2016/2/15,1650
2016/2/16,1540
2016/2/17,1448
2016/2/18,1641
2016/2/19,1621
2016/2/20,1478
2016/2/21,1519
2016/2/22,1648
2016/2/23,1480
2016/2/24,1627
2016/2/25,1621
2016/2/26,1529
2016/2/27,1650
2016/2/28,1601
2016/2/29,1520
2016/3/1,1690
2016/3/2,1743
2016/3/3,1744
2016/3/4,1561
2016/3/5,1658
2016/3/6,1776
2016/3/7,1606
2016/3/8,1528
2016/3/9,1608
2016/3/10,1611
2016/3/11,1614
2016/3/12,1625
2016/3/13,1630
2016/3/14,1649
2016/3/15,1592
2016/3/16,1719
2016/3/17,1654
2016/3/18,1545
2016/3/19,1610
2016/3/20,1542
2016/3/21,1642
2016/3/22,1740
2016/3/23,1710
2016/3/24,1575
2016/3/25,1584
2016/3/26,1583
2016/3/27,1739
2016/3/28,1518
2016/3/29,1505
2016/3/30,1627
2016/3/31,1473
2016/4/1,1563
2016/4/2,1483
2016/4/3,1551
2016/4/4,1655
2016/4/5,1497
2016/4/6,1635
2016/4/7,1582
2016/4/8,1498
2016/4/9,1501
2016/4/10,1592
2016/4/11,1657
2016/4/12,1755
2016/4/13,1730
2016/4/14,1737
2016/4/15,1573
2016/4/16,1735
2016/4/17,1717
2016/4/18,1677
2016/4/19,1803
2016/4/20,1776
2016/4/21,1832
2016/4/22,1657
2016/4/23,1738
2016/4/24,1645
2016/4/25,1786
2016/4/26,1794
2016/4/27,1608
2016/4/28,1674
2016/4/29,1857
2016/4/30,1829
2016/5/1,1834
2016/5/2,1801
2016/5/3,1782
2016/5/4,1644
2016/5/5,1812
2016/5/6,1895
2016/5/7,1893
2016/5/8,1751
2016/5/9,1804
2016/5/10,1709
2016/5/11,1681
2016/5/12,1847
2016/5/13,1891
2016/5/14,1893
2016/5/15,1701
2016/5/16,1751
2016/5/17,1660
2016/5/18,1733
2016/5/19,1840
2016/5/20,1753
2016/5/21,1796
2016/5/22,1756
2016/5/23,1781
2016/5/24,1805
2016/5/25,1695
2016/5/26,1634
2016/5/27,1696
2016/5/28,1682
2016/5/29,1741
2016/5/30,1856
2016/5/31,1649
2016/6/1,1767
2016/6/2,1761
2016/6/3,1865
2016/6/4,1780
2016/6/5,1740
2016/6/6,1597
2016/6/7,1632
2016/6/8,1676
2016/6/9,1641
2016/6/10,1673
2016/6/11,1801
2016/6/12,1580
2016/6/13,1821
2016/6/14,1805
2016/6/15,1723
2016/6/16,1760
2016/6/17,1729
2016/6/18,1779
2016/6/19,1581
2016/6/20,1790
2016/6/21,1647
2016/6/22,1689
2016/6/23,1595
2016/6/24,1648
2016/6/25,1718
2016/6/26,1627
2016/6/27,1601
2016/6/28,1675
2016/6/29,1623
2016/6/30,1638
2016/7/1,1680
2016/7/2,1531
2016/7/3,1605
2016/7/4,1689
2016/7/5,1484
2016/7/6,1497
2016/7/7,1400
2016/7/8,1575
2016/7/9,1541
2016/7/10,1402
2016/7/11,1480
2016/7/12,1507
2016/7/13,1552
2016/7/14,1579
2016/7/15,1446
2016/7/16,1617
2016/7/17,1442
2016/7/18,1497
2016/7/19,1539
2016/7/20,1620
2016/7/21,1526
2016/7/22,1375
2016/7/23,1596
2016/7/24,1340
2016/7/25,1465
2016/7/26,1426
2016/7/27,1540
2016/7/28,1361
2016/7/29,1325
2016/7/30,1281
2016/7/31,1283
2016/8/1,1405
2016/8/2,1403
2016/8/3,1547
2016/8/4,1472
2016/8/5,1327
2016/8/6,1406
2016/8/7,1465
2016/8/8,1335
2016/8/9,1387
2016/8/10,1614
2016/8/11,1509
2016/8/12,1470
2016/8/13,1697
2016/8/14,1500
2016/8/15,1562
2016/8/16,1473
2016/8/17,1526
2016/8/18,1749
2016/8/19,1651
2016/8/20,1778
2016/8/21,1700
2016/8/22,1633
2016/8/23,1534
2016/8/24,1574
2016/8/25,1681
2016/8/26,1597
2016/8/27,1590
2016/8/28,1659
2016/8/29,1544
2016/8/30,1563
2016/8/31,1529
2016/9/1,1562
2016/9/2,1577
2016/9/3,1679
2016/9/4,1498
2016/9/5,1507
2016/9/6,1649
2016/9/7,1759
2016/9/8,1675
2016/9/9,1748
2016/9/10,1515
2016/9/11,1617
2016/9/12,1654
2016/9/13,1583
2016/9/14,1657
2016/9/15,1674
2016/9/16,1546
2016/9/17,1512
2016/9/18,1560
2016/9/19,1465
2016/9/20,1680
2016/9/21,1611
2016/9/22,1569
2016/9/23,1633
2016/9/24,1597
2016/9/25,1480
2016/9/26,1500
2016/9/27,1531
2016/9/28,1564
2016/9/29,1640
2016/9/30,1675
2016/10/1,1639
2016/10/2,1563
2016/10/3,1510
2016/10/4,1525
2016/10/5,1568
2016/10/6,1741
2016/10/7,1678
2016/10/8,1677
2016/10/9,1524
2016/10/10,1685
2016/10/11,1584
2016/10/12,1695
2016/10/13,1665
2016/10/14,1599
2016/10/15,1612
2016/10/16,1751
2016/10/17,1797
2016/10/18,1775
2016/10/19,1613
2016/10/20,1704
2016/10/21,1558
2016/10/22,1613
2016/10/23,1646
2016/10/24,1611
2016/10/25,1574
2016/10/26,1646
2016/10/27,1677
2016/10/28,1693
2016/10/29,1594
2016/10/30,1673
2016/10/31,1706
2016/11/1,1482
2016/11/2,1708
2016/11/3,1583
2016/11/4,1581
2016/11/5,1556
2016/11/6,1683
2016/11/7,1632
2016/11/8,1618
2016/11/9,1641
2016/11/10,1726
2016/11/11,1677
2016/11/12,1564
2016/11/13,1557
2016/11/14,1501
2016/11/15,1589
2016/11/16,1502
2016/11/17,1572
2016/11/18,1515
2016/11/19,1608
2016/11/20,1535
2016/11/21,1527
2016/11/22,1699
2016/11/23,1699
2016/11/24,1533
2016/11/25,1752
2016/11/26,1595
2016/11/27,1618
2016/11/28,1695
2016/11/29,1602
2016/11/30,1797
2016/12/1,1666
2016/12/2,1830
2016/12/3,1676
2016/12/4,1625
2016/12/5,1627
2016/12/6,1600
2016/12/7,1617
2016/12/8,1723
2016/12/9,1766
2016/12/10,1790
2016/12/11,1794
2016/12/12,1755
2016/12/13,1775
2016/12/14,1828
2016/12/15,1741
2016/12/16,1821
2016/12/17,1718
2016/12/18,1880
2016/12/19,1816
2016/12/20,1784
2016/12/21,1848
2016/12/22,1872
2016/12/23,1778
2016/12/24,1810
2016/12/25,1703
2016/12/26,1806
2016/12/27,1738
2016/12/28,1688
2016/12/29,1617
2016/12/30,1798
2016/12/31,1664
2017/1/1,1814
2017/1/2,1846
2017/1/3,1777
2017/1/4,1753
2017/1/5,1782
2017/1/6,1785
2017/1/7,1761
2017/1/8,1900
2017/1/9,1854
2017/1/10,1737
2017/1/11,1723
2017/1/12,1679
2017/1/13,1599
2017/1/14,1647
2017/1/15,1718
2017/1/16,1654
2017/1/17,1726
2017/1/18,1715
2017/1/19,1574
2017/1/20,1538
2017/1/21,1678
2017/1/22,1635
2017/1/23,1599
2017/1/24,1628
2017/1/25,1665
2017/1/26,1635
2017/1/27,1568
2017/1/28,1673
2017/1/29,1611
2017/1/30,1667
2017/1/31,1551
2017/2/1,1662
2017/2/2,1664
2017/2/3,1758
2017/2/4,2176
2017/2/5,1650
2017/2/6,1541
2017/2/7,1792
2017/2/8,1579
2017/2/9,1490
2017/2/10,1643
2017/2/11,1474
2017/2/12,1603
2017/2/13,1625
2017/2/14,1592
2017/2/15,1630
2017/2/16,1594
2017/2/17,1465
2017/2/18,1495
2017/2/19,1486
2017/2/20,1555
2017/2/21,1392
2017/2/22,1611
2017/2/23,1395
2017/2/24,1411
2017/2/25,1427
2017/2/26,1520
2017/2/27,1584
2017/2/28,1546
2017/3/1,1459
2017/3/2,1634
2017/3/3,1448
2017/3/4,1383
2017/3/5,1443
2017/3/6,1355
2017/3/7,1514
2017/3/8,1423
2017/3/9,1523
2017/3/10,1506
2017/3/11,1454
2017/3/12,1486
2017/3/13,1416
2017/3/14,1448
2017/3/15,1494
2017/3/16,1467
2017/3/17,1573
2017/3/18,1405
2017/3/19,1395
2017/3/20,1431
2017/3/21,1622
2017/3/22,1537
2017/3/23,1636
2017/3/24,1587
2017/3/25,1574
2017/3/26,1530
2017/3/27,1611
2017/3/28,1619
2017/3/29,1494
2017/3/30,1545
2017/3/31,1536
2017/4/1,1630
2017/4/2,1634
2017/4/3,1731
2017/4/4,1695
2017/4/5,1507
2017/4/6,1627
2017/4/7,1667
2017/4/8,1537
2017/4/9,1683
2017/4/10,1750
2017/4/11,1707
2017/4/12,1488
2017/4/13,1592
2017/4/14,1620
2017/4/15,1708
2017/4/16,1790
2017/4/17,1676
2017/4/18,1704
2017/4/19,1621
2017/4/20,1534
2017/4/21,1562
2017/4/22,1763
2017/4/23,1628
2017/4/24,1617
2017/4/25,1490
2017/4/26,1619
2017/4/27,1617
2017/4/28,1622
2017/4/29,1500
2017/4/30,1592
2017/5/1,1459
2017/5/2,1527
2017/5/3,1441
2017/5/4,1427
2017/5/5,1619
2017/5/6,1585
2017/5/7,1617
2017/5/8,1640
2017/5/9,1503
2017/5/10,1487
2017/5/11,1528
2017/5/12,1425
2017/5/13,1502
2017/5/14,1603
2017/5/15,1612
2017/5/16,1558
2017/5/17,1530
2017/5/18,1659
2017/5/19,1499
2017/5/20,1647
2017/5/21,1669
2017/5/22,1543
2017/5/23,1559
2017/5/24,1712
2017/5/25,1667
2017/5/26,1701
2017/5/27,1697
2017/5/28,1534
2017/5/29,1619
2017/5/30,1613
2017/5/31,1700
2017/6/1,1536
2017/6/2,1640
2017/6/3,1483
2017/6/4,1679
2017/6/5,1713
2017/6/6,1604
2017/6/7,1471
2017/6/8,1595
2017/6/9,1586
2017/6/10,1535
2017/6/11,1687
2017/6/12,1555
2017/6/13,1616
2017/6/14,1470
2017/6/15,1673
2017/6/16,1560
2017/6/17,1532
2017/6/18,1578
2017/6/19,1530
2017/6/20,1509
2017/6/21,1491
2017/6/22,1516
2017/6/23,1673
2017/6/24,1577
2017/6/25,1472
2017/6/26,1497
2017/6/27,1650
2017/6/28,1582
2017/6/29,1570
2017/6/30,1559
2017/7/1,1494
2017/7/2,1543
2017/7/3,1654
2017/7/4,1656
2017/7/5,1565
2017/7/6,1612
2017/7/7,1567
2017/7/8,1749
2017/7/9,1555
2017/7/10,1689
2017/7/11,1579
2017/7/12,1546
2017/7/13,1705
2017/7/14,1792
2017/7/15,1747
2017/7/16,1767
2017/7/17,1765
2017/7/18,1607
2017/7/19,1724
