Month,sales
11-Apr,3228
11-May,4138
11-Jun,3261
11-Jul,2189
11-Aug,1463
11-Sep,1472
11-Oct,3004
11-Nov,3610
11-Dec,3431
12-Jan,6144
12-Feb,5556
12-Mar,4596
12-Apr,4586
12-May,3222
12-Jun,2855
12-Jul,2092
12-Aug,1709
12-Sep,1511
12-Oct,2298
12-Nov,3281
12-Dec,3864
13-Jan,5371
13-Feb,5138
13-Mar,3796
13-Apr,3261
13-May,2319
13-Jun,2347
13-Jul,2161
13-Aug,1757
13-Sep,1554
13-Oct,2386
13-Nov,3817
13-Dec,4815
14-Jan,5188
14-Feb,5113
14-Mar,3605
14-Apr,4502
14-May,4240
14-Jun,2500
14-Jul,2057
14-Aug,2052
14-Sep,1829
14-Oct,2685
14-Nov,3755
14-Dec,4179
15-Jan,5059
15-Feb,4992
15-Mar,4293
15-Apr,913
